what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563933637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563934320
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563936810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563936892
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563937758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563938438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563941027
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563941112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563941814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563942061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563942858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563943209
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563943767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563944110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563945115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563945645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563947437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411563947896
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1411563973187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1411563995607
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1411564013946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564019801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564019887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564021897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564021978
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564022944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564023625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564030884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564031565
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564103920
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564103921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411564123736
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564146672
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564148241
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564207707
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564209339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564217377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564226997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564235634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564236778
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564237084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411564241005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1411564261499
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564312070
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1411564313407
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564313579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1411564430800
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564432575
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564434027
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564437844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1411564496947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1411564532857
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564551802
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564552950
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411564560637
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1411564693650
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1411564708414
